Nr sklepu;WBS;Wykonawca ;Supervisior ; Backlog USD ; Backlog PLN ; Cabinets ;Zafakturowane;Dokumenty z demontaæu;Potwierdzony backlog z finansami;Demontaæ;Start montaæu - dostawa listy zmiennej i mebli;Miesiac montaæu;Miesi•c fakturowania;Numer SO;Stan;Nr projektu;Miasto dostawy;Ulica dostawy;Nr sklepu;Region;Kod pocztowy;Typ czynnika;Drzwi;Data montaæu drzwi;Data otwarcia sklepu;WydajnoòÜ gascoolera;Uwagi;TOTAL Cabinates;Regaày  nabiaà /ow;Regaày na mi©so;Regaày na ciasto;Plug-in;Komory;Lady ,stoày szafy;Bok prawy;Bok lewy;Regaày 3,75;Regaày 2,50;Regaày 1,25;Regaày inne;Regaày regenerowane 3,75;Regaày regenerowane 2,50;Regaàna ciasto systemowy ;Regaà na p•czek neutralny;Regaà na ciasto GTB CAKE 695;Regaà na ciasto GTB CAKE 1350;Zamraæarki FRICON 2500;Zamraæarki FRICON 1940;FRICON COMBI UDP zamraæarka;FRICON COMBI UDP chàodziarka;Zamraæarki ARAN;Chàodziarki ARAN;Szczyt¢wki zamraæarki;Szczyt¢wki chàodziarki;Zamraæarki regenerowane ARAN;Chàodziarki regenerowane ARAN;Szczyt¢wki regenerowane zamraæarki XTREEM;Szczyt¢wki regenerowane chàodziarkii XTREEM;Lady;Stoày;Szafy chàodnicze;Szafy mro´nicze;Komory              ( miejsca paletowe  )    chàodnia ;Komory              ( miejsca paletowe  )    mro´nia;Uwagi mro´nia;Agregat MINI CCP;QiuetCool QC MT;Komora na odpadki Mawi;Lod¢wka na socjal Gorenje;Lista podstawowa SAP;Chàodnice, Gascooler, agregat;Lista dodatkowa SAP;Na podstawie layoutu zaakceptowanego
4864;PLT01-00-224864;KLIMORS;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;x;x;;01.03.2022;4;Kwiecie‰;Kwiecie‰;5511;remont;4864;Lublin;ul. G©sia;4864;LUB;20-719;CO2;AIFO ;09.04.2022;14.04.2022;;LU-VE z Frioarte;10;6+4;0+1;GTB 1350;7+1+3+1;12+9;lada, st¢à, szafa-ren?;1;;;;;;;;;;;;;;;;7;1;3;1;;;;;;;;;;;;;;;;;;;
7437;PLT01-00-227437;FRIWEN;R. Jeziorski ;180 000 USD;700 200,00 zà; 10,00    ;x;x;;n/d;11;Kwiecie‰;Kwiecie‰;7546;nowy;7437;Tyszowce;Wielka;7437;LUB;22-630;CO2;AIFO;20.04.2022;26.05.2022;;LU-VE z Frioarte;11;7+2;0+1;GTB 1350;7+1+3+1;;;;;6;;;;;;;;1;;4;2;;;7;1;3;1;;;;;2;1;1;2;4;;;;2;1;1;;;;
7055;PLT01-00-227055;KLIMORS;R. Jeziorski ;107 969 USD;420 000,00 zà; 6,00    ;x;;;n/d;12;Kwiecie‰;Maj;7424;EF;7055;Rakszawa;;7055;T;37-111;CO2;AIFO;15.04.2022;30.04.2022;;ND ;6;6;;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;4;lada, st¢à, szafa;;;6;;;;;;;;1;;4;2;;;0;0;0;0;;;;;2;1;1;2;4;;;;2;1;1;;;;
3829;PLT01-00-223829;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 10,00    ;x;x;;15.03.2022;14;Kwiecie‰;Maj;7389;remont;3829;ZamoòÜ;ul. Lipska 40A;3829;LUB;22-400;CO2;AIFO ren;23.04.2022;30.06.2022;;;11;7+2;0+1;GTB 1350;;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
2131;PLT01-00-222131;RALCO;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;15.03.2022;25;Kwiecie‰;Maj;8169;remont;2131;Stalowa Wola;ul. Okulickiego 140;2131;LUB;37-450;CO2;AIFO;29.04.2022;10.05.2022;;;11;6+5;0+1;GTB 1350;;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;4;1;9;1;;;;;;;;;;;;;;;;;
4991;PLT01-00-224991;COOL-CONTROL;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;;;;26.04.2022;30;Maj;Czerwiec;7408;remont;4991;Siedlce;ul. Czackiego 4;4991;LUB;08-110;CO2;AIFOren;02.06.2022;07.06.2022;;;10;7+1;0+1;GTB 1350;8(3ren)+2+0+0;;;;;;2;;;5;3;;;;1;;;;;5;2;;;3;;;;;;;;;;;1;;1;1;;;;
3877;PLT01-00-223877;KLIMORS;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;26.04.2022;30;Maj;Czerwiec;10452;remont;3877;ù¢d´;ul. Przybyszewskiego;3877;S;92-339;CO2;AIFOren;06.06.2022;09.06.2022;;;10;6+1;0+2;GTB 1350;6 ren+0+3+0;;;1;;4;5;;;;;;;1;;;;;;;;3;;6;;;;;;;;;;;1;;1;1;;;;
5315;PLT01-00-225315;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 13,00    ;;;;20.04.2022;2;Czerwiec;Czerwiec;7409;remont;5315;Frampol;Biàgorajska 1F;5315;LUB;23-440;CO2;AIFO;09.06.2022;17.06.2022;;;12;7+4;0+1;GTB 1350;7+1+3+1;8+7;lada, st¢à, szafa;;1;7;5;;;;;;;;;;;;;;1;3;1;7;1;;;2;1;1;;8;7;;1;;1;1;;;;
7453;PLT01-00-227453;FRIWEN;R. Jeziorski ;180 000 USD;700 200,00 zà; 10,00    ;;;;n/d;6;Czerwiec;Czerwiec;7705;nowy;7453;Bychawa;ul. Sienkiewicza 94;7453;LUB;23-100;CO2;AIFO;09.06.2022;15.06.2022;;;11;8+2;0+1;GTB 1350;7(6 ren)+1+3+1;8+7;lada, st¢à, szafa;;1;5;6;;;;;;;;;;;;;10;1;;;;;;;1;1;1;;8;7;;1;;1;1;;;;
7203;PLT01-00-227203;KLIMORS;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;n/d;6;Czerwiec;Czerwiec;7426;nowy;7203;Wielopole Skrzy‰skie;445a;7203;T;39-110;CO2;AIFO;09.06.2022;30.06.2022;;uruchomienie w dodatkowym terminie;10;7+1;0+1;GTB 1350;7+1+3+1;8+5;lada, st¢à, szafa;1;;7;2;;;;;;;;;;;;;8;;3;1;;;;;2;1;1;;8;5;;1;;1;1;;;;
